"remoteness_tri","hhold_size_cat","AGE5P","number_of_people"
"Inner/outer regional","Single","0_4",1467
"Inner/outer regional","Single","5_9",1646
"Inner/outer regional","Single","10_14",1682
"Inner/outer regional","Single","15_19",4890
"Inner/outer regional","Single","20_24",21101
"Inner/outer regional","Single","25_29",30823
"Inner/outer regional","Single","30_34",27750
"Inner/outer regional","Single","35_39",25953
"Inner/outer regional","Single","40_44",26154
"Inner/outer regional","Single","45_49",35387
"Inner/outer regional","Single","50_54",48986
"Inner/outer regional","Single","55_59",65069
"Inner/outer regional","Single","60_64",77094
"Inner/outer regional","Single","65_69",78042
"Inner/outer regional","Single","70_74",75853
"Inner/outer regional","Single","75_79",59424
"Inner/outer regional","Single","80+",91654
"Inner/outer regional","Medium (2 - 5 people)","0_4",265989
"Inner/outer regional","Medium (2 - 5 people)","5_9",288856
"Inner/outer regional","Medium (2 - 5 people)","10_14",303794
"Inner/outer regional","Medium (2 - 5 people)","15_19",273811
"Inner/outer regional","Medium (2 - 5 people)","20_24",238206
"Inner/outer regional","Medium (2 - 5 people)","25_29",267849
"Inner/outer regional","Medium (2 - 5 people)","30_34",280490
"Inner/outer regional","Medium (2 - 5 people)","35_39",279573
"Inner/outer regional","Medium (2 - 5 people)","40_44",268040
"Inner/outer regional","Medium (2 - 5 people)","45_49",295223
"Inner/outer regional","Medium (2 - 5 people)","50_54",311113
"Inner/outer regional","Medium (2 - 5 people)","55_59",312585
"Inner/outer regional","Medium (2 - 5 people)","60_64",313662
"Inner/outer regional","Medium (2 - 5 people)","65_69",282114
"Inner/outer regional","Medium (2 - 5 people)","70_74",248307
"Inner/outer regional","Medium (2 - 5 people)","75_79",161864
"Inner/outer regional","Medium (2 - 5 people)","80+",144113
"Inner/outer regional","Large (6+ people)","0_4",46085
"Inner/outer regional","Large (6+ people)","5_9",65727
"Inner/outer regional","Large (6+ people)","10_14",72911
"Inner/outer regional","Large (6+ people)","15_19",50376
"Inner/outer regional","Large (6+ people)","20_24",23988
"Inner/outer regional","Large (6+ people)","25_29",19098
"Inner/outer regional","Large (6+ people)","30_34",24916
"Inner/outer regional","Large (6+ people)","35_39",32341
"Inner/outer regional","Large (6+ people)","40_44",29982
"Inner/outer regional","Large (6+ people)","45_49",23726
"Inner/outer regional","Large (6+ people)","50_54",15071
"Inner/outer regional","Large (6+ people)","55_59",9823
"Inner/outer regional","Large (6+ people)","60_64",8256
"Inner/outer regional","Large (6+ people)","65_69",6538
"Inner/outer regional","Large (6+ people)","70_74",5055
"Inner/outer regional","Large (6+ people)","75_79",2799
"Inner/outer regional","Large (6+ people)","80+",2425
"Major Cities","Single","0_4",2733
"Major Cities","Single","5_9",3462
"Major Cities","Single","10_14",3352
"Major Cities","Single","15_19",9858
"Major Cities","Single","20_24",57498
"Major Cities","Single","25_29",109517
"Major Cities","Single","30_34",121098
"Major Cities","Single","35_39",108085
"Major Cities","Single","40_44",91994
"Major Cities","Single","45_49",98523
"Major Cities","Single","50_54",113649
"Major Cities","Single","55_59",132625
"Major Cities","Single","60_64",148697
"Major Cities","Single","65_69",147383
"Major Cities","Single","70_74",147673
"Major Cities","Single","75_79",119872
"Major Cities","Single","80+",204118
"Major Cities","Medium (2 - 5 people)","0_4",852748
"Major Cities","Medium (2 - 5 people)","5_9",886201
"Major Cities","Medium (2 - 5 people)","10_14",857738
"Major Cities","Medium (2 - 5 people)","15_19",799422
"Major Cities","Medium (2 - 5 people)","20_24",912101
"Major Cities","Medium (2 - 5 people)","25_29",1025326
"Major Cities","Medium (2 - 5 people)","30_34",1092347
"Major Cities","Medium (2 - 5 people)","35_39",1086280
"Major Cities","Medium (2 - 5 people)","40_44",956094
"Major Cities","Medium (2 - 5 people)","45_49",924162
"Major Cities","Medium (2 - 5 people)","50_54",880307
"Major Cities","Medium (2 - 5 people)","55_59",795236
"Major Cities","Medium (2 - 5 people)","60_64",701100
"Major Cities","Medium (2 - 5 people)","65_69",581877
"Major Cities","Medium (2 - 5 people)","70_74",501804
"Major Cities","Medium (2 - 5 people)","75_79",338294
"Major Cities","Medium (2 - 5 people)","80+",348586
"Major Cities","Large (6+ people)","0_4",129486
"Major Cities","Large (6+ people)","5_9",168382
"Major Cities","Large (6+ people)","10_14",179092
"Major Cities","Large (6+ people)","15_19",145643
"Major Cities","Large (6+ people)","20_24",106571
"Major Cities","Large (6+ people)","25_29",78556
"Major Cities","Large (6+ people)","30_34",78405
"Major Cities","Large (6+ people)","35_39",96419
"Major Cities","Large (6+ people)","40_44",93513
"Major Cities","Large (6+ people)","45_49",78947
"Major Cities","Large (6+ people)","50_54",57694
"Major Cities","Large (6+ people)","55_59",38601
"Major Cities","Large (6+ people)","60_64",30199
"Major Cities","Large (6+ people)","65_69",26256
"Major Cities","Large (6+ people)","70_74",19880
"Major Cities","Large (6+ people)","75_79",11624
"Major Cities","Large (6+ people)","80+",11997
"Remote/very remote","Single","0_4",129
"Remote/very remote","Single","5_9",115
"Remote/very remote","Single","10_14",116
"Remote/very remote","Single","15_19",508
"Remote/very remote","Single","20_24",2078
"Remote/very remote","Single","25_29",2986
"Remote/very remote","Single","30_34",2444
"Remote/very remote","Single","35_39",2165
"Remote/very remote","Single","40_44",2008
"Remote/very remote","Single","45_49",2577
"Remote/very remote","Single","50_54",3514
"Remote/very remote","Single","55_59",4350
"Remote/very remote","Single","60_64",4684
"Remote/very remote","Single","65_69",4158
"Remote/very remote","Single","70_74",3426
"Remote/very remote","Single","75_79",2382
"Remote/very remote","Single","80+",2947
"Remote/very remote","Medium (2 - 5 people)","0_4",18289
"Remote/very remote","Medium (2 - 5 people)","5_9",18475
"Remote/very remote","Medium (2 - 5 people)","10_14",15694
"Remote/very remote","Medium (2 - 5 people)","15_19",11934
"Remote/very remote","Medium (2 - 5 people)","20_24",12404
"Remote/very remote","Medium (2 - 5 people)","25_29",17245
"Remote/very remote","Medium (2 - 5 people)","30_34",19599
"Remote/very remote","Medium (2 - 5 people)","35_39",18508
"Remote/very remote","Medium (2 - 5 people)","40_44",15505
"Remote/very remote","Medium (2 - 5 people)","45_49",15883
"Remote/very remote","Medium (2 - 5 people)","50_54",16478
"Remote/very remote","Medium (2 - 5 people)","55_59",16045
"Remote/very remote","Medium (2 - 5 people)","60_64",14926
"Remote/very remote","Medium (2 - 5 people)","65_69",11718
"Remote/very remote","Medium (2 - 5 people)","70_74",8703
"Remote/very remote","Medium (2 - 5 people)","75_79",5328
"Remote/very remote","Medium (2 - 5 people)","80+",4346
"Remote/very remote","Large (6+ people)","0_4",4926
"Remote/very remote","Large (6+ people)","5_9",6404
"Remote/very remote","Large (6+ people)","10_14",6130
"Remote/very remote","Large (6+ people)","15_19",4355
"Remote/very remote","Large (6+ people)","20_24",3070
"Remote/very remote","Large (6+ people)","25_29",2825
"Remote/very remote","Large (6+ people)","30_34",3195
"Remote/very remote","Large (6+ people)","35_39",3446
"Remote/very remote","Large (6+ people)","40_44",2872
"Remote/very remote","Large (6+ people)","45_49",2103
"Remote/very remote","Large (6+ people)","50_54",1610
"Remote/very remote","Large (6+ people)","55_59",1090
"Remote/very remote","Large (6+ people)","60_64",871
"Remote/very remote","Large (6+ people)","65_69",576
"Remote/very remote","Large (6+ people)","70_74",373
"Remote/very remote","Large (6+ people)","75_79",156
"Remote/very remote","Large (6+ people)","80+",129
