"state","hhold_size_cat","AGE5P","number_of_people"
"Australian Capital Territory","Single","0_4",65
"Australian Capital Territory","Single","5_9",78
"Australian Capital Territory","Single","10_14",69
"Australian Capital Territory","Single","15_19",259
"Australian Capital Territory","Single","20_24",1885
"Australian Capital Territory","Single","25_29",3973
"Australian Capital Territory","Single","30_34",4050
"Australian Capital Territory","Single","35_39",3396
"Australian Capital Territory","Single","40_44",2697
"Australian Capital Territory","Single","45_49",2806
"Australian Capital Territory","Single","50_54",3165
"Australian Capital Territory","Single","55_59",3446
"Australian Capital Territory","Single","60_64",3714
"Australian Capital Territory","Single","65_69",3521
"Australian Capital Territory","Single","70_74",3645
"Australian Capital Territory","Single","75_79",2781
"Australian Capital Territory","Single","80+",4361
"Australian Capital Territory","Medium (2 - 5 people)","0_4",21956
"Australian Capital Territory","Medium (2 - 5 people)","5_9",23818
"Australian Capital Territory","Medium (2 - 5 people)","10_14",21687
"Australian Capital Territory","Medium (2 - 5 people)","15_19",19202
"Australian Capital Territory","Medium (2 - 5 people)","20_24",24642
"Australian Capital Territory","Medium (2 - 5 people)","25_29",29693
"Australian Capital Territory","Medium (2 - 5 people)","30_34",29451
"Australian Capital Territory","Medium (2 - 5 people)","35_39",29115
"Australian Capital Territory","Medium (2 - 5 people)","40_44",25332
"Australian Capital Territory","Medium (2 - 5 people)","45_49",23116
"Australian Capital Territory","Medium (2 - 5 people)","50_54",20836
"Australian Capital Territory","Medium (2 - 5 people)","55_59",18014
"Australian Capital Territory","Medium (2 - 5 people)","60_64",15437
"Australian Capital Territory","Medium (2 - 5 people)","65_69",12756
"Australian Capital Territory","Medium (2 - 5 people)","70_74",11520
"Australian Capital Territory","Medium (2 - 5 people)","75_79",7459
"Australian Capital Territory","Medium (2 - 5 people)","80+",7107
"Australian Capital Territory","Large (6+ people)","0_4",2464
"Australian Capital Territory","Large (6+ people)","5_9",3188
"Australian Capital Territory","Large (6+ people)","10_14",3453
"Australian Capital Territory","Large (6+ people)","15_19",2565
"Australian Capital Territory","Large (6+ people)","20_24",1922
"Australian Capital Territory","Large (6+ people)","25_29",1802
"Australian Capital Territory","Large (6+ people)","30_34",1796
"Australian Capital Territory","Large (6+ people)","35_39",2096
"Australian Capital Territory","Large (6+ people)","40_44",1846
"Australian Capital Territory","Large (6+ people)","45_49",1494
"Australian Capital Territory","Large (6+ people)","50_54",979
"Australian Capital Territory","Large (6+ people)","55_59",566
"Australian Capital Territory","Large (6+ people)","60_64",365
"Australian Capital Territory","Large (6+ people)","65_69",369
"Australian Capital Territory","Large (6+ people)","70_74",288
"Australian Capital Territory","Large (6+ people)","75_79",164
"Australian Capital Territory","Large (6+ people)","80+",168
"New South Wales","Single","0_4",1434
"New South Wales","Single","5_9",1631
"New South Wales","Single","10_14",1687
"New South Wales","Single","15_19",4319
"New South Wales","Single","20_24",22715
"New South Wales","Single","25_29",40925
"New South Wales","Single","30_34",44709
"New South Wales","Single","35_39",40413
"New South Wales","Single","40_44",35778
"New South Wales","Single","45_49",40417
"New South Wales","Single","50_54",48388
"New South Wales","Single","55_59",61099
"New South Wales","Single","60_64",71628
"New South Wales","Single","65_69",71059
"New South Wales","Single","70_74",71022
"New South Wales","Single","75_79",58448
"New South Wales","Single","80+",96310
"New South Wales","Medium (2 - 5 people)","0_4",357830
"New South Wales","Medium (2 - 5 people)","5_9",370425
"New South Wales","Medium (2 - 5 people)","10_14",366911
"New South Wales","Medium (2 - 5 people)","15_19",339505
"New South Wales","Medium (2 - 5 people)","20_24",365769
"New South Wales","Medium (2 - 5 people)","25_29",414319
"New South Wales","Medium (2 - 5 people)","30_34",443061
"New South Wales","Medium (2 - 5 people)","35_39",437630
"New South Wales","Medium (2 - 5 people)","40_44",392858
"New South Wales","Medium (2 - 5 people)","45_49",390937
"New South Wales","Medium (2 - 5 people)","50_54",377489
"New South Wales","Medium (2 - 5 people)","55_59",360799
"New South Wales","Medium (2 - 5 people)","60_64",334489
"New South Wales","Medium (2 - 5 people)","65_69",283858
"New South Wales","Medium (2 - 5 people)","70_74",244726
"New South Wales","Medium (2 - 5 people)","75_79",165394
"New South Wales","Medium (2 - 5 people)","80+",169304
"New South Wales","Large (6+ people)","0_4",63061
"New South Wales","Large (6+ people)","5_9",82215
"New South Wales","Large (6+ people)","10_14",87426
"New South Wales","Large (6+ people)","15_19",69119
"New South Wales","Large (6+ people)","20_24",48448
"New South Wales","Large (6+ people)","25_29",36576
"New South Wales","Large (6+ people)","30_34",38243
"New South Wales","Large (6+ people)","35_39",46887
"New South Wales","Large (6+ people)","40_44",45745
"New South Wales","Large (6+ people)","45_49",38998
"New South Wales","Large (6+ people)","50_54",28396
"New South Wales","Large (6+ people)","55_59",20084
"New South Wales","Large (6+ people)","60_64",16287
"New South Wales","Large (6+ people)","65_69",14263
"New South Wales","Large (6+ people)","70_74",10826
"New South Wales","Large (6+ people)","75_79",6427
"New South Wales","Large (6+ people)","80+",6861
"Northern Territory","Single","0_4",64
"Northern Territory","Single","5_9",40
"Northern Territory","Single","10_14",47
"Northern Territory","Single","15_19",145
"Northern Territory","Single","20_24",813
"Northern Territory","Single","25_29",1419
"Northern Territory","Single","30_34",1454
"Northern Territory","Single","35_39",1183
"Northern Territory","Single","40_44",1028
"Northern Territory","Single","45_49",1230
"Northern Territory","Single","50_54",1484
"Northern Territory","Single","55_59",1676
"Northern Territory","Single","60_64",1700
"Northern Territory","Single","65_69",1604
"Northern Territory","Single","70_74",1285
"Northern Territory","Single","75_79",689
"Northern Territory","Single","80+",721
"Northern Territory","Medium (2 - 5 people)","0_4",9558
"Northern Territory","Medium (2 - 5 people)","5_9",9282
