"hhold_size_cat","AGE5P","number_of_people"
"Single","0_4",4329
"Single","5_9",5223
"Single","10_14",5147
"Single","15_19",15257
"Single","20_24",80673
"Single","25_29",143328
"Single","30_34",151293
"Single","35_39",136201
"Single","40_44",120153
"Single","45_49",136484
"Single","50_54",166150
"Single","55_59",202050
"Single","60_64",230471
"Single","65_69",229584
"Single","70_74",226953
"Single","75_79",181669
"Single","80+",298722
"Medium (2 - 5 people)","0_4",1137027
"Medium (2 - 5 people)","5_9",1193532
"Medium (2 - 5 people)","10_14",1177227
"Medium (2 - 5 people)","15_19",1085164
"Medium (2 - 5 people)","20_24",1162711
"Medium (2 - 5 people)","25_29",1310425
"Medium (2 - 5 people)","30_34",1392435
"Medium (2 - 5 people)","35_39",1384357
"Medium (2 - 5 people)","40_44",1239638
"Medium (2 - 5 people)","45_49",1235264
"Medium (2 - 5 people)","50_54",1207899
"Medium (2 - 5 people)","55_59",1123873
"Medium (2 - 5 people)","60_64",1029680
"Medium (2 - 5 people)","65_69",875710
"Medium (2 - 5 people)","70_74",758817
"Medium (2 - 5 people)","75_79",505485
"Medium (2 - 5 people)","80+",497044
"Large (6+ people)","0_4",180492
"Large (6+ people)","5_9",240515
"Large (6+ people)","10_14",258131
"Large (6+ people)","15_19",200379
"Large (6+ people)","20_24",133635
"Large (6+ people)","25_29",100479
"Large (6+ people)","30_34",106517
"Large (6+ people)","35_39",132211
"Large (6+ people)","40_44",126367
"Large (6+ people)","45_49",104779
"Large (6+ people)","50_54",74369
"Large (6+ people)","55_59",49512
"Large (6+ people)","60_64",39320
"Large (6+ people)","65_69",33363
"Large (6+ people)","70_74",25307
"Large (6+ people)","75_79",14582
"Large (6+ people)","80+",14549
